st,BC,Envi,pEnvi,pDist,Dist,SampleID,Cruise,Station,Line
KH154StBS1C,0.575219298,0.606797244,-0.515136818,-0.880789343,-1.485435484,S16F02KH154StBS1C,KH-15-4,StBS1,BS
KH154StBS1S,0.575219298,0.606797244,-0.515136818,-0.880789343,-1.485435484,S16F02KH154StBS1S,KH-15-4,StBS1,BS
KH154StBS3C,0.561074561,0.277581625,-2.514017114,0.776075021,0.076763212,S16F02KH154StBS3C,KH-15-4,StBS3,BS
KH154StBS3S,0.561074561,0.277581625,-2.514017114,0.776075021,0.076763212,S16F02KH154StBS3S,KH-15-4,StBS3,BS
KH154StBS5C,0.522916667,0.281428429,-2.51017031,0.774968876,0.076763212,S16F02KH154StBS5C,KH-15-4,StBS5,BS
KH154StBS5S,0.522916667,0.281428429,-2.51017031,0.774968876,0.076763212,S16F02KH154StBS5S,KH-15-4,StBS5,BS
KH154StOK1bC,0.540679825,1.059985647,-1.773354709,0.590150387,0.115818179,S16F02KH154StOK1bC,KH-15-4,StOK1b,OK
KH154StOK1bS,0.540679825,1.059985647,-1.773354709,0.590150387,0.115818179,S16F02KH154StOK1bS,KH-15-4,StOK1b,OK
KH154StOK1C,0.411403509,0.612068946,-0.301157031,-1.077580053,-1.680710321,S16F02KH154StOK1C,KH-15-4,StOK1,OK
KH154StOK1S,0.411403509,0.612068946,-0.301157031,-1.077580053,-1.680710321,S16F02KH154StOK1S,KH-15-4,StOK1,OK
KH154StOK2C,0.667324561,2.270170961,-1.523226584,1.140426894,1.014082429,S16F02KH154StOK2C,KH-15-4,StOK2,OK
KH154StOK2S,0.667324561,2.270170961,-1.523226584,1.140426894,1.014082429,S16F02KH154StOK2S,KH-15-4,StOK2,OK
KH154StOK3C,0.750548246,2.905168008,-0.387330133,0.489174432,0.545422821,S16F02KH154StOK3C,KH-15-4,StOK3,OK
KH154StOK3S,0.750548246,2.905168008,-0.387330133,0.489174432,0.545422821,S16F02KH154StOK3S,KH-15-4,StOK3,OK
KH154StOK4C,0.789692982,2.71805049,-1.367538374,1.285024293,1.287467201,S16F02KH154StOK4C,KH-15-4,StOK4,OK
KH154StOK4S,0.789692982,2.71805049,-1.367538374,1.285024293,1.287467201,S16F02KH154StOK4S,KH-15-4,StOK4,OK
KH154StOK6C,0.364473684,0.178017463,-3.23970553,1.390529121,0.662587723,S16F02KH154StOK6C,KH-15-4,StOK6,OK
KH154StOK6S,0.364473684,0.178017463,-3.23970553,1.390529121,0.662587723,S16F02KH154StOK6S,KH-15-4,StOK6,OK
KH154StTE1C,0.675438596,5.499888392,3.29267229,-1.272364329,-0.470006332,S16F02KH154StTE1C,KH-15-4,StTE1,TE
KH154StTE1S,0.675438596,5.499888392,3.29267229,-1.272364329,-0.470006332,S16F02KH154StTE1S,KH-15-4,StTE1,TE
KH154StTE3C,0.901425439,5.12455263,1.205930235,0.436816809,1.131247332,S16F02KH154StTE3C,KH-15-4,StTE3,TE
KH154StTE3S,0.901425439,5.12455263,1.205930235,0.436816809,1.131247332,S16F02KH154StTE3S,KH-15-4,StTE3,TE
KH154StTE4C,0.922916667,5.997479349,1.744924018,0.498247223,1.443687071,S16F02KH154StTE4C,KH-15-4,StTE4,TE
KH154StTE4S,0.922916667,5.997479349,1.744924018,0.498247223,1.443687071,S16F02KH154StTE4S,KH-15-4,StTE4,TE
KH154StTK1C,0.448355263,0.30410782,-2.362266068,0.651282534,-0.04040169,S16F02KH154StTK1C,KH-15-4,StTK1,TK
KH154StTK1S,0.448355263,0.30410782,-2.362266068,0.651282534,-0.04040169,S16F02KH154StTK1S,KH-15-4,StTK1,TK
KH154StTK3C,0.852083333,3.75342694,-0.165195456,0.831082819,1.131247332,S16F02KH154StTK3C,KH-15-4,StTK3,TK
KH154StTK3S,0.852083333,3.75342694,-0.165195456,0.831082819,1.131247332,S16F02KH154StTK3S,KH-15-4,StTK3,TK
KH154StTK6C,0.466666667,2.494281987,0.913190139,-0.993929311,-1.055830843,S16F02KH154StTK6C,KH-15-4,StTK6,TK
KH154StTK6S,0.466666667,2.494281987,0.913190139,-0.993929311,-1.055830843,S16F02KH154StTK6S,KH-15-4,StTK6,TK
KH154StTS2C,0.574232456,0.827975988,-0.627891009,-0.63194936,-1.172995745,S16F02KH154StTS2C,KH-15-4,StTS2,TS
KH154StTS2S,0.574232456,0.827975988,-0.627891009,-0.63194936,-1.172995745,S16F02KH154StTS2S,KH-15-4,StTS2,TS
KH154StTS3C,0.412390351,0.20961311,-0.745354484,-0.922799257,-1.641655354,S16F02KH154StTS3C,KH-15-4,StTS3,TS
KH154StTS3S,0.412390351,0.20961311,-0.745354484,-0.922799257,-1.641655354,S16F02KH154StTS3S,KH-15-4,StTS3,TS
KH154StTS4C,0.842872807,0.393800123,-0.143751302,-1.366311748,-2.032205028,S16F02KH154StTS4C,KH-15-4,StTS4,TS
KH154StTS4S,0.842872807,0.393800123,-0.143751302,-1.366311748,-2.032205028,S16F02KH154StTS4S,KH-15-4,StTS4,TS
KH154StTS5C,0.804824561,2.273248779,-0.309641875,0.006947815,-0.118511625,S16F02KH154StTS5C,KH-15-4,StTS5,TS
KH154StTS5S,0.804824561,2.273248779,-0.309641875,0.006947815,-0.118511625,S16F02KH154StTS5S,KH-15-4,StTS5,TS
KH154StTS7C,0.733114035,2.891695407,-0.275577884,0.375883564,0.428257918,S16F02KH154StTS7C,KH-15-4,StTS7,TS
KH154StTS7S,0.733114035,2.891695407,-0.275577884,0.375883564,0.428257918,S16F02KH154StTS7S,KH-15-4,StTS7,TS
Or1Cr1124StK101C,0.36502193,2.918127126,0.961360726,-0.764310908,-0.704336136,S16F02Or1Cr1124StK101C,Or1Cr1124,StK101,OKTV
Or1Cr1124StK101S,0.36502193,2.918127126,0.961360726,-0.764310908,-0.704336136,S16F02Or1Cr1124StK101S,Or1Cr1124,StK101,OKTV
Or1Cr1124StK102C,0.605153509,4.686652531,2.729886131,-1.272848863,-0.704336136,S16F02Or1Cr1124StK102C,Or1Cr1124,StK102,OKTV
Or1Cr1124StK102S,0.605153509,4.686652531,2.729886131,-1.272848863,-0.704336136,S16F02Or1Cr1124StK102S,Or1Cr1124,StK102,OKTV
Or1Cr1124StK103C,0.602083333,1.965434376,0.008667976,-0.49036493,-0.704336136,S16F02Or1Cr1124StK103C,Or1Cr1124,StK103,OKTV
Or1Cr1124StK103S,0.602083333,1.965434376,0.008667976,-0.49036493,-0.704336136,S16F02Or1Cr1124StK103S,Or1Cr1124,StK103,OKTV
Or1Cr1124StK104C,0.544736842,4.294256173,1.920073604,-0.769465955,-0.313786462,S16F02Or1Cr1124StK104C,Or1Cr1124,StK104,OKTV
Or1Cr1124StK104S,0.544736842,4.294256173,1.920073604,-0.769465955,-0.313786462,S16F02Or1Cr1124StK104S,Or1Cr1124,StK104,OKTV
Or1Cr1124StK105C,0.787828947,4.906685628,1.1550297,0.343244408,0.975027462,S16F02Or1Cr1124StK105C,Or1Cr1124,StK105,OKTV
Or1Cr1124StK105S,0.787828947,4.906685628,1.1550297,0.343244408,0.975027462,S16F02Or1Cr1124StK105S,Or1Cr1124,StK105,OKTV
Or1Cr1124StK106C,0.805592105,4.860202825,1.233771748,0.239445596,0.85786256,S16F02Or1Cr1124StK106C,Or1Cr1124,StK106,OKTV
Or1Cr1124StK106S,0.805592105,4.860202825,1.233771748,0.239445596,0.85786256,S16F02Or1Cr1124StK106S,Or1Cr1124,StK106,OKTV
Or1Cr1124StK107C,0.845942982,4.551081354,0.924650277,0.328333208,0.85786256,S16F02Or1Cr1124StK107C,Or1Cr1124,StK107,OKTV
Or1Cr1124StK107S,0.845942982,4.551081354,0.924650277,0.328333208,0.85786256,S16F02Or1Cr1124StK107S,Or1Cr1124,StK107,OKTV
Or1Cr1124StK108C,0.745175439,4.610589955,1.610283132,-0.27460295,0.272038049,S16F02Or1Cr1124StK108C,Or1Cr1124,StK108,OKTV
Or1Cr1124StK108S,0.745175439,4.610589955,1.610283132,-0.27460295,0.272038049,S16F02Or1Cr1124StK108S,Or1Cr1124,StK108,OKTV
Or1Cr1124StK311C,0.779057018,5.104721951,1.060874704,0.559684006,1.248412234,S16F02Or1Cr1124StK311C,Or1Cr1124,StK311,OKTV
Or1Cr1124StK311S,0.779057018,5.104721951,1.060874704,0.559684006,1.248412234,S16F02Or1Cr1124StK311S,Or1Cr1124,StK311,OKTV
